station id,station name,latitude,longitude
214,Airport T Stop - Bremen St at Brooks St,42.3740832,-71.03274185
215,The Eddy - New St at Sumner St,42.370744,-71.044201
217,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256
219,Boston East - 126 Border St,42.37331213,-71.04102008
221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356
222,Troy Boston,42.343749,-71.062256
224,Fresh Pond Reservation,42.38267828,-71.14347895
225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867
226,Commonwealth Ave At Babcock St,42.35154735,-71.12126246
228,One Memorial Drive,42.36161932,-71.08043551
232,Four Corners - 157 Washington St,42.30412793,-71.07929528
233,St Mary's,42.34619708,-71.10728681
234,Broadway at Central St,42.3951715,-71.09850592
235,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716
236,Assembly Square T,42.39223284,-71.07746601
239,Community Path at Cedar Street,42.39407224,-71.11133695
258,Gallivan Blvd at Adams St,42.28297568,-71.05466698
271,Ashmont T Stop,42.2856944,-71.0641389
272,Shawmut T Stop,42.292917,-71.06575
273,Forest Hills,42.300923,-71.114249
279,Williams St at Washington St,42.306539,-71.107669
280,Main St at Baldwin St,42.380857,-71.070629
282,Stony Brook T Stop,42.316966,-71.104374
296,Farragut Rd at E. 6th St,42.3334,-71.02495
318,Ames St at Broadway,42.3636929,-71.0875672
319,84 Cambridgepark Dr,42.3936,-71.143941
327,Main St at Thompson Sq,42.37487847,-71.06383499
328,Grove St at Community Path,42.39638681,-71.12011306
329,Washington St at Myrtle St,42.380998,-71.08721308
330,30 Dane St,42.38100143,-71.10402523
331,Huntington Ave at Mass Art,42.33658555,-71.09886996
332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771
333,699 Mt Auburn St,42.37500235,-71.14871614
334,Mass Ave at Hadley/Walden,42.39120972,-71.12260755
335,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222
336,Mattapan T Stop,42.267902,-71.093641
337,Roslindale Village - South St,42.287072,-71.127754
338,Commonwealth Ave at Kelton St,42.34835863,-71.13997217
340,Blue Hill Ave at Almont St,42.27462067,-71.09372552
341,Roslindale Village - Washington St,42.28630716,-71.12820532
342,Boylston St at Jersey St,42.34465063,-71.09732501
344,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806
